chunk_id,file_id,text
es_001_chunk_1,es_001,"--- Pagina 1 ---

Las comunidades por todo el país están en estado de
alerta. Es posible que se entere de la presencia o
arrestos por parte de ICE, pero es posible que no esté
claro si realmente fue ICE.

Esto es así a propósito. ICE utiliza tácticas
intencionales (como no identificarse o usar ropa que
parezca la de la policía local) para que no quede claro
si son parte de ICE.

Ántes de compartir algo, aquí hay algunas presuntas
jue debe hacer y cosas que debe considerar para



--- Pagina 2"
es_001_chunk_2,es_001,"---

¿QUIÉN LO DIJO?

Averiguar de dónde proviene la información puede ayudarle a
determinar la confiabilidad de lo que ha escuchado.

¿Tu fuente fue testigo de lo que ocurrió?
E Si no, ¿lo oyeron de alguien que lo vio?

E Si no, ¿de quién proviene la información sobre el
avistamiento/arresto?

Si no es testigo, ¿conoce a alguien que pueda
tener más información o que conozca a la familia
de la persona afectada?

»» ¿Han hablado directamente con el testigo?
M ¿El testigo tomó fotografías o videos"
es_001_chunk_3,es_001,"de lo que vio?

¿Se ha informado del incidente a una organización local de
derechos de los inmigrantes o a funcionarios electos locales?

—

)


--- Pagina 3 ---

¿QUÉ SUCEDIO?

Datos esenciales que se deben conseguir para verificar
la información.

¿Cuándo ocurrió?
D» fFecha y Hora

¿Dónde ocurrió?
»» Dirección, si es posible
* Calles transversales o puntos de referencia cercanos
* ¿Qué tipo de lugar? (Por ejemplo: una casa, escuela, refugio,
hospital, al aire libre, etc.)
¿Cuántos oficiales e"
es_001_chunk_4,es_001,"staban presentes?
»» Cantidad de oficiales

* ¿Dónde estaban? (Por ejemplo: 2-3 oficiales entraron a la
casa mientras 5-6 esperaban en la calle)

GE)


--- Pagina 4 ---

¿QUÉ TAL SI NO ESTÁ
CLARO QUE FUE ICE?

A pesar de conseguir todos los detalles, puede que no
siempre esté claro si fue ICE.

¿Qué se puede hacer?

J Comuníquese con la oficina de funcionarios electos locales
con los datos colectados.

» ,
Comuníquese con su grupo local de derechos de los
inmigrantes o con los organizadores comu"
es_001_chunk_5,es_001,"nitarios con los
datos colectados.

o Podrán determinar si las tácticas descritas son
consistentes con las prácticas de ICE en la región.

o Fs posible que también tengan ideas de otras agencias a
las que puede contactar para obtener más información.

G)


--- Pagina 5 ---

¿PENSANDO EN COMPARTIR
LO QUE VIO O ESCUCHO EN
LAS REDES SOCIALES?

COMPARTE RESPONSABLEMENTE - No comparta
redadas no verificadas en las redes sociales

Comuníquese con organizadores locales, grupos de ayuda mutua,
grupos de"
es_001_chunk_6,es_001,"derechos de los inmigrantes y/o funcionarios electos
locales para compartir los informes.

Aunque pueda parecer ICE, es posible que en realidad no era ICE y
compartir o recompartir información incorrecta puede causar más
miedo.

Muchos grupos están brindando apoyo de respuesta rápida o
ICEwatch y pueden tener una idea de las tendencias de las
prácticas locales de ICE. Es posible que puedan confirmar si fue ICE

0 no.

)


--- Pagina 6 ---

¿PENSANDO EN COMPARTIR
LO QUE VIO O ESCUCHO EN
LAS REDE"
es_001_chunk_7,es_001,"S SOCIALES?

Si usted fue testigo del arresto
»» Comuníquese primero con los familiares de la persona
arrestada para compartirles lo que vio.
» Déjenles decidir si quieren compartir públicamente lo
sucedido.
Si decide compartirlo en las redes sociales
»» Noutilice los nombres ni datos de identificación de la
persona detenida.

J Sitiene fotos o vídeos, difumina los rostros de las personas
que aparecen en las imágenes. No querrá compartir por
accidente información sobre la persona detenida en el"
es_001_chunk_8,es_001,"Internet.

O

(

+


--- Pagina 7 ---

RECUERDE

Usted tiene derechos
independientemente de
su estatus migratorio.

IMMIGRANTDEFENSEPROJECT.ORG/KYR

%
..."
es_002_chunk_1,es_002,"--- Pagina 1 ---

DOCUMENTAR
REDADAS DE ICE

—y


--- Pagina 2 ---

CUALQUIERA PUEDE
DOCUMENTAR UNA REDADA DE ICE

Incluso si no conoce a las personas
involucradas, las redadas pueden ser
documentadas por:

* Tomar fotos ovideos.

* Tomar notas inmediatamente después de
presenciar un encuentro con ICE.

* Guardar comunicaciones de agentes de ICE (es
decir, mensajes de texto o mensajes de voz).

* Entrevistar a otros testigos y escribir lo que
vieron.

* Revisar imágenes y videos de cámaras de"
es_002_chunk_2,es_002,"seguridad


--- Pagina 3 ---

RECUERDE

* Incluso si un agente de ICEle dice que
deje de grabar, puede continuar
haciéndolo si no interfiera con el
arresto.

Solo hay unos pocos casos cuando los
agentes de ICE pueden tomar su
teléfono. Sin embargo, tenga en cuenta
que ellos pueden tratar de hacerlo
aunque no sea legal. Todavía puede
invocar sus derechos y decirles que Ud.
no da su consentimiento para que lleven
su teléfono.


--- Pagina 4 ---

REGUERDE

* Evalúe la situación antes de filmar. Si"
es_002_chunk_3,es_002,"le
preocupa su seguridad o la seguridad de
la persona que interactúa con ICE, hay
otras formas de documentar un arresto.

* Antes de publicar lo que Ud. ha
documentado en las redes sociales,
comuníquese con organizaciones locales
que monitorean las redadas de ICE.


--- Pagina 5 ---

IMMIGRANT

¡ |[]P ; DEFENSE

Conozca sus derechos con ICE.
Para más recursos gratis, visite:

IMMIGRANTDEFENSEPROJECT.ORG/

CONOZCA-SUS-DERECHOS-CON-ICE"
es_003_chunk_1,es_003,"--- Pagina 1 ---

, IMMIGRANT
| ' DEFENSE
© PROJECT

CONOZCA SUS
DERECHOS 6me

Cuando ICE me
detiene en el auto

Cuando ICE le para en el auto, tiene los mismos derechos tal como si
estuviera en un espacio público. Debe reclamar sus derechos, incluso si
los agentes le ignoran. ¡Usar sus derechos puede ayudarle en pelear un
caso legal!


--- Pagina 2 ---

G)

Tiene el derecho de

PERMANECER EN SILENCIO

* No contestar ninguna pregunta acerca de su historia
criminal o migratoria.

o No mentir ni"
es_003_chunk_2,es_003,"mostrar documentos falsos.

* No correr ni resistir el arresto, porque se puede
intensificar la situación.

* No contestar preguntas acerca de su lugar de
nacimiento.

Di “Yo quiero usar mi derecho de
I : 1
5a no contestar sus preguntas.


--- Pagina 3 ---

Tiene el derecho de
IRSE SI NO ESTA BAJO ARRESTO

Si ICE le contesta “Yo quiero usar mi
que NO, ¡use el derecho de no contestar
derecho de permanecer sus preguntas. Quiero
en silencio! hablar con un abogado.”
Si IGE le contesta que

SI, se p"
es_003_chunk_3,es_003,"uede ir en el auto “No quiero

0 a pie cuando el oficial contestar sus
esté a una distancia preguntas.”

segura.


--- Pagina 4 ---

Tiene el derecho de
PREGUNTAR

Quiénes son los agentes y por qué detuvieron el auto:

“¿Son de la policía
local?”

“¿Son de la patrulla de
caminos?”

“¿Son de la inmigración?”

“¿Por qué me pararon?”


--- Pagina 5 ---

Si es el pasajero, tiene el derecho de

NO MOSTRAR SU ID AL OFICIAL

Ni decir ninguna información personal, incluso:
e Su nombre
e dirección
e luga"
es_003_chunk_4,es_003,"r de nacimiento

Diga: “¿Me puedo ir?”
“No quiero mostrarle una ID ni
contestar sus preguntas.”


--- Pagina 6 ---

Q)IP¿
Tiene el derecho de
PREGUNTAR SI TIENEN UNA
ORDEN DE ARRESTO

“¿Tienen una orden de
Diga: arresto?”
Si ICE le “Yo quiero usar mi derecho de
contesta que no contestar sus preguntas.”

NO, ¡use el
derecho de “¿Por qué me pararon?”

permanecer en

i i ' ha 1
silencio! “¿Me puedoir?

Si ICE le , “Yo no quiero contestar sus preguntas.
contesta que Si: Quiero revisar la orden.”


-"
